sequence;type;annee;tour;departement;commune;numero_du_bureau;code_canton;code_circonscription;indicatif;nombre_dinscrits;nombre_dabstentions;nombre_de_votants;nombre_de_votants_dapres_les_feuilles_demargement;nombre_de_bulletins_blancs;nombre_de_bulletins_nuls;nombre_dexprimes;nombre_de_candidats;sigle_du_candidat1;nombre_de_voix_du_candidat1;sigle_du_candidat2;nombre_de_voix_du_candidat2;sigle_du_candidat3;nombre_de_voix_du_candidat3;sigle_du_candidat4;nombre_de_voix_du_candidat4;sigle_du_candidat5;nombre_de_voix_du_candidat5;sigle_du_candidat6;nombre_de_voix_du_candidat6;sigle_du_candidat7;nombre_de_voix_du_candidat7;sigle_du_candidat8;nombre_de_voix_du_candidat8;sigle_du_candidat9;nombre_de_voix_du_candidat9;sigle_du_candidat10;nombre_de_voix_du_candidat10;sigle_du_candidat11;nombre_de_voix_du_candidat11;sigle_du_candidat12;nombre_de_voix_du_candidat12
152;PR;2022;1;31;555;0147;21;04;I;1146;212;934;934;12;0;922;12;ARTH;0;ROUS;8;MACR;391;LASS;32;LEPE;109;ZEMM;101;MELE;132;HIDA;15;JADO;68;PECR;54;POUT;4;DUPO;8
153;PR;2022;1;31;555;0148;21;04;I;1076;246;830;830;8;8;814;12;ARTH;4;ROUS;10;MACR;216;LASS;32;LEPE;125;ZEMM;61;MELE;249;HIDA;25;JADO;46;PECR;19;POUT;2;DUPO;25
154;PR;2022;1;31;555;0149;16;04;I;1059;173;886;885;9;7;870;12;ARTH;4;ROUS;17;MACR;215;LASS;21;LEPE;71;ZEMM;37;MELE;338;HIDA;34;JADO;89;PECR;23;POUT;7;DUPO;14
159;PR;2022;1;31;555;0154;16;01;I;1223;211;1012;1012;12;3;997;12;ARTH;4;ROUS;31;MACR;293;LASS;27;LEPE;72;ZEMM;77;MELE;324;HIDA;21;JADO;86;PECR;37;POUT;6;DUPO;19
163;PR;2022;1;31;555;0158;16;01;I;1064;253;811;811;15;3;793;12;ARTH;2;ROUS;16;MACR;230;LASS;20;LEPE;63;ZEMM;52;MELE;267;HIDA;19;JADO;78;PECR;27;POUT;4;DUPO;15
171;PR;2022;1;31;555;0166;16;01;I;1282;297;985;984;14;8;963;12;ARTH;3;ROUS;21;MACR;255;LASS;50;LEPE;95;ZEMM;42;MELE;324;HIDA;30;JADO;92;PECR;26;POUT;7;DUPO;18
174;PR;2022;1;31;555;0169;16;01;I;907;158;749;749;3;5;741;12;ARTH;0;ROUS;17;MACR;251;LASS;12;LEPE;36;ZEMM;52;MELE;243;HIDA;20;JADO;64;PECR;40;POUT;2;DUPO;4
175;PR;2022;1;31;555;0170;16;01;I;916;177;739;739;11;2;726;12;ARTH;3;ROUS;10;MACR;215;LASS;20;LEPE;36;ZEMM;48;MELE;273;HIDA;21;JADO;60;PECR;25;POUT;4;DUPO;11
177;PR;2022;1;31;555;0172;16;01;I;1211;233;978;978;14;4;960;12;ARTH;4;ROUS;22;MACR;318;LASS;23;LEPE;100;ZEMM;48;MELE;280;HIDA;19;JADO;76;PECR;50;POUT;5;DUPO;15
180;PR;2022;1;31;555;0175;16;01;I;902;220;682;683;17;2;663;12;ARTH;1;ROUS;13;MACR;163;LASS;27;LEPE;94;ZEMM;41;MELE;217;HIDA;18;JADO;62;PECR;13;POUT;6;DUPO;8
189;PR;2022;1;31;555;0183;22;01;I;1392;394;998;998;19;2;977;12;ARTH;2;ROUS;22;MACR;186;LASS;31;LEPE;171;ZEMM;66;MELE;401;HIDA;20;JADO;41;PECR;25;POUT;1;DUPO;11
200;PR;2022;1;31;555;192A;22;02;I;1106;478;628;628;7;4;617;12;ARTH;4;ROUS;18;MACR;100;LASS;14;LEPE;65;ZEMM;43;MELE;299;HIDA;12;JADO;34;PECR;6;POUT;8;DUPO;14
204;PR;2022;1;31;555;0196;22;02;I;1225;285;940;940;12;9;919;12;ARTH;5;ROUS;28;MACR;220;LASS;37;LEPE;107;ZEMM;42;MELE;349;HIDA;21;JADO;63;PECR;24;POUT;7;DUPO;16
209;PR;2022;1;31;555;0200;22;02;I;1158;340;818;818;7;1;810;12;ARTH;2;ROUS;14;MACR;160;LASS;32;LEPE;111;ZEMM;45;MELE;355;HIDA;14;JADO;37;PECR;19;POUT;6;DUPO;15
210;PR;2022;1;31;555;0201;22;02;I;1043;219;824;823;18;6;800;12;ARTH;3;ROUS;24;MACR;219;LASS;16;LEPE;88;ZEMM;60;MELE;274;HIDA;19;JADO;46;PECR;27;POUT;9;DUPO;15
